R,1,20_10,FO_remove_small,0.01,50,1000,1,0,3113.4777,6.8850112758,6.5164729125
R,1,20_10,FO_remove_small,0.001,100,1000,1,0,3238.9467,1.7177327146,1.6045702235
R,1,20_10,FO_remove_small,0.01,50,500,1,0,3121.1943,7.1660991542,6.699219699
R,1,20_10,FO_remove_small,0.01,100,10000,1,0,3469.5075,11.562992539,10.9112081224
R,1,20_10,FO_remove_small_and_large_RT,0.01,50,1000,1,0,1519.1458,2.8234604103,2.7835023553
R,1,20_10,FO_remove_large_RT,0.01,50,1000,1,0,1483.128,4.9123825658,4.6015652137
R,1,20_10,FO_remove_small_RT,0.01,50,1000,1,0,3123.5871,4.8943869678,4.8278946309
R,1,20_10,FO_remove_small_and_large_RT,0.01,40,500,1,0,1513.894,2.7170532739,2.6781903938
R,1,20_10,FO_remove_small_and_large_RT,0.01,30,500,1,0,1522.476,2.3619427381,2.3282191354
R,1,20_10,FO,0.01,50,1000,1,0,1438.6787,4.6815678275,4.3914143196
R,1,10_5,FO_remove_large_RT,0.01,50,1000,1,0,1433.4159,4.2099941375,3.9684877663
R,1,15_5,FO_remove_large_RT,0.01,50,1000,1,0,1460.8844,4.3785406282,4.1167622946
R,1,10_5,FO_remove_large_RT,0.01,100,1000,1,0,1458.4775,4.0124626235,3.8138724908
R,1,10_5,FO_remove_large_RT,0.01,20,500,1,0,1436.2333,4.1267575563,3.8806522631
R,1,10_5,FO_remove_large_RT,0.01,30,500,1,0,1440.0164,3.9635318502,3.7284253865
R,1,15_5,FO_remove_large_RT,0.01,100,1000,1,0,1461.1487,3.9445253229,3.7041326022
